,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2342621,1763-06-01,18.803,5.744,Florence,Italy,44.20N,11.18E
2342622,1763-07-01,22.671,2.491,Florence,Italy,44.20N,11.18E
2342623,1763-08-01,22.715,3.122,Florence,Italy,44.20N,11.18E
2342624,1763-09-01,16.809,2.6060000000000003,Florence,Italy,44.20N,11.18E
2342625,1763-10-01,10.385000000000002,6.287000000000001,Florence,Italy,44.20N,11.18E
2342626,1763-11-01,6.545999999999999,3.4610000000000003,Florence,Italy,44.20N,11.18E
2342627,1763-12-01,4.838,2.05,Florence,Italy,44.20N,11.18E
2342628,1764-01-01,3.814,5.329,Florence,Italy,44.20N,11.18E
2342629,1764-02-01,6.605,2.937,Florence,Italy,44.20N,11.18E
2342630,1764-03-01,5.9289999999999985,3.672,Florence,Italy,44.20N,11.18E
2342631,1764-04-01,9.478,4.772,Florence,Italy,44.20N,11.18E
2342632,1764-05-01,16.887999999999998,7.725,Florence,Italy,44.20N,11.18E
2342633,1764-06-01,20.344,2.944,Florence,Italy,44.20N,11.18E
2342634,1764-07-01,21.54,5.417999999999998,Florence,Italy,44.20N,11.18E
2342635,1764-08-01,20.022,1.764,Florence,Italy,44.20N,11.18E
2342636,1764-09-01,16.887999999999998,5.347,Florence,Italy,44.20N,11.18E
2342637,1764-10-01,11.29,3.207,Florence,Italy,44.20N,11.18E
2342638,1764-11-01,7.399999999999999,3.551,Florence,Italy,44.20N,11.18E
2342639,1764-12-01,5.621,4.088,Florence,Italy,44.20N,11.18E
2342640,1765-01-01,6.308,10.513,Florence,Italy,44.20N,11.18E
2342641,1765-02-01,3.002,4.266,Florence,Italy,44.20N,11.18E
2342642,1765-03-01,8.02,3.022,Florence,Italy,44.20N,11.18E
2342643,1765-04-01,10.804,1.77,Florence,Italy,44.20N,11.18E
2342644,1765-05-01,14.550999999999998,2.732,Florence,Italy,44.20N,11.18E
2342645,1765-06-01,19.667,2.917,Florence,Italy,44.20N,11.18E
2342646,1765-07-01,19.493,4.78,Florence,Italy,44.20N,11.18E
2342647,1765-08-01,20.668000000000006,2.466,Florence,Italy,44.20N,11.18E
2342648,1765-09-01,17.872,1.59,Florence,Italy,44.20N,11.18E
2342649,1765-10-01,12.768,1.132,Florence,Italy,44.20N,11.18E
2342650,1765-11-01,7.866,3.38,Florence,Italy,44.20N,11.18E
2342651,1765-12-01,2.441,2.218,Florence,Italy,44.20N,11.18E
2342652,1766-01-01,-1.29,7.426,Florence,Italy,44.20N,11.18E
2342653,1766-02-01,2.529,4.215,Florence,Italy,44.20N,11.18E
2342654,1766-03-01,7.082999999999998,2.553,Florence,Italy,44.20N,11.18E
2342655,1766-04-01,11.109000000000002,3.525,Florence,Italy,44.20N,11.18E
2342656,1766-05-01,15.638,2.136,Florence,Italy,44.20N,11.18E
2342657,1766-06-01,20.785,7.237,Florence,Italy,44.20N,11.18E
2342658,1766-07-01,20.722,4.013,Florence,Italy,44.20N,11.18E
2342659,1766-08-01,21.893,3.0810000000000004,Florence,Italy,44.20N,11.18E
2342660,1766-09-01,18.099,3.114,Florence,Italy,44.20N,11.18E
2342661,1766-10-01,12.105,2.322,Florence,Italy,44.20N,11.18E
2342662,1766-11-01,9.792,5.0,Florence,Italy,44.20N,11.18E
2342663,1766-12-01,2.854,3.719,Florence,Italy,44.20N,11.18E
2342664,1767-01-01,-3.218,7.044,Florence,Italy,44.20N,11.18E
2342665,1767-02-01,4.98,8.496,Florence,Italy,44.20N,11.18E
2342666,1767-03-01,7.451,8.588,Florence,Italy,44.20N,11.18E
2342667,1767-04-01,8.908999999999997,6.504,Florence,Italy,44.20N,11.18E
2342668,1767-05-01,14.177,2.471,Florence,Italy,44.20N,11.18E
2342669,1767-06-01,18.795,3.32,Florence,Italy,44.20N,11.18E
2342670,1767-07-01,22.712,4.158,Florence,Italy,44.20N,11.18E
2342671,1767-08-01,21.078000000000007,1.959,Florence,Italy,44.20N,11.18E
2342672,1767-09-01,17.192999999999998,3.907,Florence,Italy,44.20N,11.18E
2342673,1767-10-01,12.671,2.897,Florence,Italy,44.20N,11.18E
2342674,1767-11-01,8.181000000000001,8.748,Florence,Italy,44.20N,11.18E
2342675,1767-12-01,1.85,5.5070000000000014,Florence,Italy,44.20N,11.18E
2342676,1768-01-01,-0.26700000000000035,12.928,Florence,Italy,44.20N,11.18E
2342677,1768-02-01,2.217,9.156,Florence,Italy,44.20N,11.18E
2342678,1768-03-01,5.2360000000000015,6.272,Florence,Italy,44.20N,11.18E
2342679,1768-04-01,10.848,3.971,Florence,Italy,44.20N,11.18E
2342680,1768-05-01,14.738,2.579,Florence,Italy,44.20N,11.18E
2342681,1768-06-01,17.997,5.098,Florence,Italy,44.20N,11.18E
2342682,1768-07-01,22.218000000000004,4.966,Florence,Italy,44.20N,11.18E
2342683,1768-08-01,21.69,1.4680000000000002,Florence,Italy,44.20N,11.18E
2342684,1768-09-01,16.741,4.987,Florence,Italy,44.20N,11.18E
2342685,1768-10-01,11.405,5.426,Florence,Italy,44.20N,11.18E
2342686,1768-11-01,7.805,5.806,Florence,Italy,44.20N,11.18E
2342687,1768-12-01,2.468,7.665,Florence,Italy,44.20N,11.18E
2342688,1769-01-01,3.9619999999999997,6.454,Florence,Italy,44.20N,11.18E
2342689,1769-02-01,3.372,3.961,Florence,Italy,44.20N,11.18E
2342690,1769-03-01,6.202999999999999,5.841,Florence,Italy,44.20N,11.18E
2342691,1769-04-01,10.644,6.509,Florence,Italy,44.20N,11.18E
2342692,1769-05-01,15.234000000000002,9.258,Florence,Italy,44.20N,11.18E
2342693,1769-06-01,20.526,4.806,Florence,Italy,44.20N,11.18E
2342694,1769-07-01,21.379,5.612,Florence,Italy,44.20N,11.18E
2342695,1769-08-01,21.363000000000003,5.742000000000001,Florence,Italy,44.20N,11.18E
2342696,1769-09-01,18.109,1.71,Florence,Italy,44.20N,11.18E
2342697,1769-10-01,8.941,2.893,Florence,Italy,44.20N,11.18E
2342698,1769-11-01,8.270999999999999,1.632,Florence,Italy,44.20N,11.18E
2342699,1769-12-01,3.687,4.605,Florence,Italy,44.20N,11.18E
2342700,1770-01-01,1.2999999999999998,7.595,Florence,Italy,44.20N,11.18E
2342701,1770-02-01,4.936,3.432,Florence,Italy,44.20N,11.18E
2342702,1770-03-01,5.74,4.522,Florence,Italy,44.20N,11.18E
2342703,1770-04-01,9.947,13.095,Florence,Italy,44.20N,11.18E
2342704,1770-05-01,14.568,1.944,Florence,Italy,44.20N,11.18E
